side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Pitching,2026091202,2026091202#26,2,3,BOTTOM,0-1,0,sota2486,Rosario20,R,ライズボール,116.7,2.1,0.0,24,false,0.3,0.4,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#26,3,3,BOTTOM,1-1,0,sota2486,Rosario20,R,サークルチェンジ,107.9,0.4,-0.9,22,false,-0.3,0.2,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT
Pitching,2026091202,2026091202#27,1,3,BOTTOM,1-2,0,sota2486,Rosario20,R,高速スライダー,111.6,0.3,1.2,25,false,1.4,0.1,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#27,2,3,BOTTOM,0-0,1,sota2486,pipis_57,R,ライズボール,116.0,2.1,0.0,3,false,0.2,1.9,true,false,true,FOUL,50.4,50.6,157.1,8.5,
Pitching,2026091202,2026091202#27,3,3,BOTTOM,0-1,1,sota2486,pipis_57,R,サークルチェンジ,106.6,0.5,-0.9,22,false,-0.5,0.4,true,false,true,IN_PLAY,154.5,1.1,-8.8,34.7,GROUND_OUT
Pitching,2026091202,2026091202#28,1,3,BOTTOM,0-0,2,sota2486,syobonnkun,R,高速スライダー,114.9,0.0,1.2,24,false,0.6,0.3,true,false,true,FOUL,48.5,-13.3,95.0,7.2,
Pitching,2026091202,2026091202#28,2,3,BOTTOM,0-1,2,sota2486,syobonnkun,R,ライズボール,118.2,2.0,0.0,20,false,0.6,0.6,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#28,3,3,BOTTOM,1-1,2,sota2486,syobonnkun,R,サークルチェンジ,107.9,0.4,-0.9,23,false,-0.1,0.4,false,false,false,CALLED_STRIKE,,,,,STRIKE_OUT
Pitching,2026091202,2026091202#29,1,3,BOTTOM,1-2,2,sota2486,syobonnkun,R,高速スライダー,114.7,-0.1,1.2,25,false,1.3,0.0,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091202,2026091202#30,1,4,TOP,0-0,1,gaifukaisei,sota2486,R,カーブ,99.2,-2.6,-2.3,16,false,-0.9,0.7,true,false,true,IN_PLAY,156.4,22.4,-38.4,86.0,SINGLE
Batting,2026091202,2026091202#31,1,4,TOP,0-2,1,gaifukaisei,sota2486,R,スライダー,108.1,-0.4,-1.9,23,false,-0.1,0.1,false,false,false,BALL,,,,,STRIKE_OUT
Batting,2026091202,2026091202#32,1,4,TOP,1-2,1,gaifukaisei,sota2486,R,ファストボール,123.6,0.8,0.0,4,false,0.3,2.3,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#33,2,4,BOTTOM,0-0,0,sota2486,Alpha6000,R,サークルチェンジ,108.3,0.3,-1.0,18,true,-0.2,0.6,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#33,3,4,BOTTOM,0-1,0,sota2486,Alpha6000,R,ライズボール,116.2,2.1,0.0,17,true,-0.3,0.5,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#33,4,4,BOTTOM,0-2,0,sota2486,Alpha6000,R,高速スライダー,114.0,0.1,1.2,25,false,1.4,0.1,true,false,true,IN_PLAY,208.3,1.6,7.9,71.1,SINGLE
Pitching,2026091202,2026091202#34,1,4,BOTTOM,0-0,0,sota2486,gaifukaisei,R,ライズボール,116.5,2.1,0.0,18,true,-0.2,0.6,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#34,2,4,BOTTOM,0-1,0,sota2486,gaifukaisei,R,サークルチェンジ,107.5,1.1,-0.8,21,false,-1.0,0.2,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#34,3,4,BOTTOM,1-1,0,sota2486,gaifukaisei,R,高速スライダー,113.3,0.1,1.2,25,false,0.8,0.1,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#34,4,4,BOTTOM,2-1,0,sota2486,gaifukaisei,R,ライズボール,118.6,2.0,0.0,17,true,-0.3,0.6,true,false,true,FOUL,36.5,-6.4,157.7,6.9,
Pitching,2026091202,2026091202#34,5,4,BOTTOM,2-2,0,sota2486,gaifukaisei,R,超高速シンカー,112.0,-0.4,-1.1,21,false,-1.0,0.4,false,false,false,BALL,,,,,STRIKE_OUT
Pitching,2026091202,2026091202#35,1,4,BOTTOM,3-2,0,sota2486,gaifukaisei,R,サークルチェンジ,107.3,0.7,-0.9,22,false,-0.4,0.1,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#35,2,4,BOTTOM,0-0,1,sota2486,Rosario20,R,ライズボール,114.8,2.1,0.0,19,true,0.4,0.7,true,false,true,IN_PLAY,190.9,19.3,-20.6,104.8,DOUBLE
Pitching,2026091202,2026091202#36,1,4,BOTTOM,0-0,1,sota2486,pipis_57,R,ライズボール,118.0,1.9,0.0,18,true,0.2,0.8,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#36,2,4,BOTTOM,0-1,1,sota2486,pipis_57,R,サークルチェンジ,107.7,0.4,-0.9,22,false,-0.4,0.4,true,false,true,FOUL,56.1,-35.8,-143.6,7.0,
Pitching,2026091202,2026091202#36,3,4,BOTTOM,0-2,1,sota2486,pipis_57,R,高速スライダー,113.0,0.0,1.2,25,false,1.1,0.0,false,false,false,BALL,,,,,STRIKE_OUT
Pitching,2026091202,2026091202#37,1,4,BOTTOM,1-2,1,sota2486,pipis_57,R,高速スライダー,113.7,-0.1,1.2,25,false,0.9,0.2,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#37,2,4,BOTTOM,0-0,2,sota2486,syobonnkun,R,ライズボール,115.2,2.1,0.0,23,false,0.1,0.3,false,false,false,BALL,,,,,
Pitching,2026091202,2026091202#37,3,4,BOTTOM,1-0,2,sota2486,syobonnkun,R,ライズボール,117.1,2.0,0.0,17,true,-0.2,0.7,false,false,false,CALLED_STRIKE,,,,,
Pitching,2026091202,2026091202#37,4,4,BOTTOM,1-1,2,sota2486,syobonnkun,R,高速スライダー,113.7,0.6,1.1,25,false,1.1,0.3,true,true,false,SWINGING_STRIKE,,,,,
Pitching,2026091202,2026091202#37,5,4,BOTTOM,1-2,2,sota2486,syobonnkun,R,ライズボール,116.1,2.1,0.0,3,false,0.0,2.7,false,false,false,BALL,,,,,STRIKE_OUT
Pitching,2026091202,2026091202#38,1,4,BOTTOM,2-2,2,sota2486,syobonnkun,R,サークルチェンジ,107.9,0.3,-0.9,17,true,-0.4,0.6,true,true,false,SWINGING_STRIKE,,,,,
Batting,2026091202,2026091202#41,1,5,TOP,0-0,2,gaifukaisei,sota2486,R,シンカー,97.5,-0.4,2.0,15,false,1.4,1.0,false,false,false,BALL,,,,,
Batting,2026091202,2026091202#41,2,5,TOP,1-0,2,gaifukaisei,sota2486,R,スライダー,107.4,-0.3,-1.8,13,true,-0.1,1.2,true,false,true,IN_PLAY,189.2,38.1,-36.9,105.4,HOME_RUN
